co2,trade_co2,oil_co2,gas_co2,flaring_co2,coal_co2,cement_co2,consumption_co2,other_industry_co2,gdp
0.253,,0.0,0.0,,0.253,0.0,,,
0.267,,0.0,0.0,,0.267,0.0,,,
0.289,,0.0,0.0,,0.289,0.0,,,
0.297,,0.0,0.0,,0.297,0.0,,,
0.333,,0.0,0.0,,0.333,0.0,,,
0.341,,0.0,0.0,,0.341,0.0,,,
0.333,,0.0,0.0,,0.333,0.0,,,
0.377,,0.0,0.0,,0.377,0.0,,,
0.392,,0.0,0.0,,0.392,0.0,,,
0.403,,0.0,0.0,,0.403,0.0,,,
0.418,,0.0,0.0,,0.418,0.0,,,
0.447,,0.0,0.0,,0.447,0.0,,,
0.484,,0.0,0.0,,0.484,0.0,,,
0.52,,0.0,0.0,,0.52,0.0,,,
0.561,,0.0,0.0,,0.561,0.0,,,
0.601,,0.0,0.0,,0.601,0.0,,,
0.663,,0.0,0.0,,0.663,0.0,,,
0.718,,0.0,0.0,,0.718,0.0,,,
0.78,,0.0,0.0,,0.78,0.0,,,
0.762,,0.0,0.0,,0.762,0.0,,,
0.791,,0.0,0.0,,0.791,0.0,,,26689673216.0
0.828,,0.0,0.0,,0.828,0.0,,,27963713536.0
0.865,,0.0,0.0,,0.865,0.0,,,29657565184.0
0.901,,0.0,0.0,,0.901,0.0,,,30226765824.0
1.015,,0.0,0.0,,1.015,0.0,,,31981950976.0
1.136,,0.0,0.0,,1.136,0.0,,,33619607552.0
1.315,,0.0,0.0,,1.315,0.0,,,34809626624.0
1.447,,0.0,0.0,,1.447,0.0,,,35893989376.0
1.594,,0.0,0.0,,1.594,0.0,,,36860850176.0
1.795,,0.0,0.0,,1.795,0.0,,,36568666112.0
2.088,,0.0,0.0,,2.088,0.0,,,40238456832.0
2.264,,0.0,0.0,,2.264,0.0,,,44058066944.0
3.023,,0.0,0.0,,3.023,0.0,,,47056560128.0
3.528,,0.0,0.0,,3.528,0.0,,,50149629952.0
3.382,,0.0,0.0,,3.382,0.0,,,49144819712.0
